Time,x,y,z
1710446120.8504949,6.796437596469196e-06,-0.002642411799048738,-0.00019454388301602468
1710446120.8663645,7.068249655159925e-06,-0.0027492731350518924,-0.00020350425055459231
1710446120.8834784,7.36573984135722e-06,-0.0028650145946489125,-0.00021253566558896838
1710446120.9004447,7.661506101581081e-06,-0.002979445011232053,-0.0002210825430735499
1710446120.9170196,7.947722233774504e-06,-0.003091185154060311,-0.0002292419039367553
1710446120.9333024,8.226765309929165e-06,-0.003200585045623474,-0.00023713908253733006
1710446120.9499016,8.513534659251422e-06,-0.0033132816348153,-0.0002452272554453691
1710446120.9662044,8.797071974648542e-06,-0.0034233479676006734,-0.0002511712225594764
1710446120.9830236,9.098848036671456e-06,-0.003536860185108945,-0.00025826643824045824
1710446120.9993753,9.393346846767485e-06,-0.0036472973341960726,-0.00026763331731500444
1710446121.0179782,9.720291938842346e-06,-0.0037726429686093716,-0.00027748374555835716
1710446121.0334709,9.989845706899729e-06,-0.003877154681498884,-0.00028531910343045547
1710446121.0497122,1.0270911416874536e-05,-0.003986784328769399,-0.0002933400333558497
1710446121.0669453,1.0568250273203655e-05,-0.004103023529950937,-0.00030173954397633146
1710446121.0835423,1.0858501141316702e-05,-0.004215142066439272,-0.00030979287158189664
1710446121.099745,1.1143252050725128e-05,-0.0043244626279320495,-0.00031569780331349784
1710446121.116725,1.1439540280497646e-05,-0.004439212833596768,-0.0003228713669982455
1710446121.1328468,1.1718662351894064e-05,-0.004547733306941338,-0.00033208093955981234
1710446121.1494136,1.2005914349651614e-05,-0.004659666032327164,-0.00034088014488538223
1710446121.166581,1.2304810795419378e-05,-0.0047754870914749545,-0.0003495673504804039
1710446121.1828496,1.2591833751431792e-05,-0.0048855263616913005,-0.00035761838763269
1710446121.199948,1.2897980849762302e-05,-0.005000231732976003,-0.00036590527335691
1710446121.2164161,1.3197186155591987e-05,-0.005111807229401816,-0.0003739210167456074
1710446121.2332757,1.3495740629772686e-05,-0.005225351782358771,-0.0003800545720832138
1710446121.2495987,1.3782301546894088e-05,-0.005335557756762114,-0.00038694252591303554
1710446121.2961335,1.459271348852311e-05,-0.0056491119388128045,-0.0004135524646550304
1710446121.3077843,1.4795765998846706e-05,-0.005727803594956186,-0.0004197402181451093
1710446121.3177931,1.496913109555708e-05,-0.005795060545363164,-0.0004247841612880712
1710446121.3312464,1.5181892591873138e-05,-0.005877131198771499,-0.0004307914520732363
1710446121.3391573,1.5346169198843655e-05,-0.005939781160708884,-0.0004353221185982433
1710446121.3501222,1.553986165917817e-05,-0.006013676436113424,-0.0004406320619411278
1710446121.3669167,1.5834370072926006e-05,-0.0061269720511133345,-0.0004484692801497416
1710446121.3837626,1.6128905075267217e-05,-0.006240610180009615,-0.00045474642317578555
1710446121.3998785,1.6410367823016386e-05,-0.006349250135049626,-0.00046188022586110273
1710446121.4167817,1.6705698496188475e-05,-0.006463243006357923,-0.00047144797092506084
1710446121.4330943,1.6991444619756218e-05,-0.006573467530684783,-0.00048005825279111264
1710446121.4491718,1.7276041853636532e-05,-0.006681845177404227,-0.00048815589341391136
1710446121.4671993,1.760493655119007e-05,-0.006803346299411837,-0.0004970276494795371
1710446121.483718,1.7908325329362593e-05,-0.0069150322551468964,-0.0005050942179906409
1710446121.500494,1.8209036766869186e-05,-0.0070281330603844065,-0.0005129428919061415
1710446121.5169892,1.8501224228546976e-05,-0.007139311306593818,-0.0005190975543895156
1710446121.5343676,1.88071472159978e-05,-0.007256458469265399,-0.0005267950694126633
1710446121.549546,1.9074149208906197e-05,-0.0073589271790116765,-0.0005353958640039145
1710446121.566983,1.937934821913366e-05,-0.007476199967973302,-0.0005445495041721417
1710446121.5835857,1.9671198196575527e-05,-0.0075884225577433845,-0.0005529284382370881
1710446121.6001534,1.996175354598677e-05,-0.00770009515570766,-0.0005610812988666922
1710446121.6174552,2.0265959260051407e-05,-0.00781699501025414,-0.0005695147555972215
1710446121.6328757,2.05398676044351e-05,-0.00792093203909504,-0.000576715513943981
1710446121.6497762,2.0843265380592017e-05,-0.00803525073120118,-0.0005830350584880775
1710446121.6663008,2.1136466938988017e-05,-0.00814664207549473,-0.0005903434606809574
1710446121.682992,2.143242301949453e-05,-0.008259530392085462,-0.0005998024363762208
1710446121.6996164,2.1726491727606145e-05,-0.008371903028562848,-0.0006085643920980463
1710446121.7164447,2.202329379390142e-05,-0.00848542121329275,-0.0006170341703006385
1710446121.7328117,2.231271375235873e-05,-0.00859613766614411,-0.0006251108341668322
1710446121.7496216,2.2609659527110713e-05,-0.008709647695179672,-0.0006333011985802258
1710446121.766274,2.2902368179214267e-05,-0.008821463663932418,-0.0006413190066674824
1710446121.7825832,2.319193461538302e-05,-0.008932041212546305,-0.0006472822904681378
1710446121.8002934,2.3508854510895917e-05,-0.009051534294032533,-0.0006547472661409509
1710446121.816852,2.380733909678968e-05,-0.009163328505520086,-0.0006642235105959934
1710446121.8331606,2.4105958587235153e-05,-0.00927343399037698,-0.0006728723224365298
1710446121.8502269,2.442058220070051e-05,-0.009388576196262197,-0.0006815013635985031
1710446121.8663554,2.4710356204901833e-05,-0.009496695205763428,-0.0006894050219588601
1710446121.8831005,2.5012112734888787e-05,-0.009610394207170561,-0.0006976141981424214
1710446121.9001143,2.5315416733283977e-05,-0.009725377548594176,-0.0007058644121058155
1710446121.916378,2.560403920715525e-05,-0.009835064845602348,-0.0007134431906857426
1710446121.9327989,2.589582764160713e-05,-0.009945983217299696,-0.0007195609070497874
1710446121.9496613,2.6195462896758446e-05,-0.010059840554822227,-0.0007270251564816075
1710446121.9660327,2.6485449632619455e-05,-0.01017002499856457,-0.0007362569570954592
